Year,Month,State,Deforestation_Level,Total_Precipitation_Level,Atmospheric_Pressure_Station_Level,Global_Radiation_Level,Air_Temperature_Level,Max_Air_Temperature_Level,Min_Air_Temperature_Level,Relative_Humidity_Level,Max_Relative_Humidity_Level,Min_Relative_Humidity_Level,Hourly_Wind_Speed_Level,Max_Wind_Gust_Level
2011,5,SE,Medium,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium
2011,6,SE,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
2011,7,SE,Medium,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2011,8,SE,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,High,High
2011,9,SE,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,High,Medium
2011,10,SE,Medium,Medium,High,High,Medium,Medium,High,Medium,Medium,High,High,High
2011,11,SE,Low,Low,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2011,12,SE,Low,Low,High,High,High,Medium,High,High,High,High,High,High
2012,1,SE,Low,Low,High,High,High,Medium,High,High,Medium,High,High,High
2012,2,SE,Low,Medium,High,High,High,Medium,High,High,Medium,High,High,High
2012,3,SE,Low,Low,High,High,High,Medium,High,High,Medium,High,High,High
2012,4,SE,Low,Low,High,Medium,High,Medium,Medium,High,Medium,Medium,High,Medium
2012,5,SE,Low,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium
2012,6,SE,Low,High,High,Medium,Medium,High,Medium,Medium,High,Medium,High,High
2012,7,SE,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium
2012,8,SE,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2012,9,SE,Low,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2012,10,SE,Low,Medium,High,High,Medium,High,Medium,Medium,High,Medium,High,High
2012,11,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2012,12,SE,Low,Low,High,High,High,Low,High,High,Medium,High,High,High
2013,1,SE,Low,Low,High,High,High,Low,High,High,Medium,High,High,High
2013,2,SE,Low,Low,High,High,High,Low,High,High,Medium,High,High,High
2013,3,SE,Low,Low,High,High,High,Medium,High,High,Medium,High,High,High
2013,4,SE,Low,High,High,Medium,High,High,High,High,High,High,High,High
2013,5,SE,Low,Medium,High,Medium,Medium,High,High,Medium,High,High,Medium,Medium
2013,6,SE,Low,Low,High,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High
2013,7,SE,Low,Low,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2013,8,SE,Low,Medium,High,Medium,Medium,High,Medium,Medium,High,Medium,High,High
2013,9,SE,Low,Low,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2013,10,SE,Low,High,High,High,Medium,Medium,High,Medium,High,High,High,High
2013,11,SE,Low,High,High,High,Medium,High,Medium,High,High,High,High,High
2013,12,SE,Low,Medium,High,High,High,High,High,High,High,Low,High,High
2014,1,SE,Low,Low,High,High,High,High,High,High,High,Low,High,High
2014,2,SE,Low,Medium,High,High,High,High,High,High,High,Low,High,Medium
2014,3,SE,Low,Medium,High,Medium,High,High,High,High,High,Low,High,Medium
2014,4,SE,Low,High,High,Medium,High,High,High,High,High,Low,High,Medium
2014,5,SE,Low,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High
2014,6,SE,Low,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium
2014,7,SE,Low,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium
2014,8,SE,Low,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium
2014,9,SE,Low,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2014,10,SE,Low,Medium,High,Medium,Medium,Medium,High,Medium,High,Medium,High,High
2014,11,SE,Low,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,High,High
2014,12,SE,Low,Low,High,High,High,Medium,High,High,High,High,High,High
2015,1,SE,Low,Low,High,High,High,High,High,High,High,High,High,High
2015,2,SE,Low,Medium,High,High,High,High,High,High,High,High,High,High
2015,3,SE,Low,Medium,High,High,High,High,High,High,High,High,High,High
2015,4,SE,Low,High,High,Medium,High,High,High,High,High,High,High,High
2015,5,SE,Low,High,High,Medium,High,High,Medium,High,High,Medium,Medium,High
2015,6,SE,Low,High,High,Low,Medium,High,High,Medium,High,Medium,High,High
2015,7,SE,Low,High,High,Medium,Medium,High,Medium,Medium,High,Medium,Low,Medium
2015,8,SE,Low,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low
2015,9,SE,Low,Low,High,High,Medium,Low,Medium,Medium,Low,Medium,Medium,High
2015,10,SE,Low,Low,High,High,Medium,Low,High,Medium,Low,Medium,High,High
2015,11,SE,Low,Low,High,High,High,Low,High,High,Low,Medium,High,High
2015,12,SE,Low,Low,High,High,High,Medium,High,High,Medium,Medium,High,High
2016,1,SE,Low,Medium,High,Medium,High,Medium,High,High,Medium,Medium,High,High
2016,2,SE,Low,Low,High,High,High,Medium,High,High,Medium,Medium,High,High
2016,3,SE,Low,Low,High,High,High,Medium,High,High,Medium,Medium,High,Medium
2016,4,SE,Low,Low,High,Medium,High,Medium,High,High,Medium,Medium,High,High
2016,5,SE,Low,High,High,Medium,High,Medium,High,High,Medium,Medium,High,High
2016,6,SE,Low,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low
2016,7,SE,Low,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low
2016,8,SE,Low,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low
2016,9,SE,Low,Low,High,High,Medium,Low,High,Medium,Low,Medium,Low,Low
2016,10,SE,Low,Low,High,High,Medium,Medium,High,High,Low,Medium,Low,Low
2016,11,SE,Low,Low,High,High,High,Low,High,High,Low,Medium,Low,Low
2016,12,SE,Low,Low,High,High,High,Medium,High,High,Medium,High,Low,Low
2017,1,SE,Low,Low,High,High,High,Low,High,High,Low,Medium,Low,Low
2017,2,SE,Low,Low,High,High,High,Medium,High,High,Low,Medium,Low,Low
2017,3,SE,Low,Medium,High,High,High,Medium,High,High,Medium,Medium,Low,Low
2017,4,SE,Low,Medium,High,Medium,High,Medium,High,High,Medium,High,Low,Low
2017,5,SE,Low,High,High,Medium,High,Medium,High,High,Medium,Medium,Low,Low
2017,6,SE,Medium,Low,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low
2017,7,SE,Medium,Low,High,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low
2017,8,SE,Medium,Low,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Low
2017,9,SE,Medium,Low,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Low
2017,10,SE,Low,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,High,Medium
2017,11,SE,Low,Low,High,High,High,Medium,High,High,Medium,Medium,High,Medium
2017,12,SE,Low,Low,High,High,High,Medium,High,High,Medium,Medium,High,High
2018,1,SE,Low,Low,High,High,High,Medium,High,High,Low,Medium,High,High
2018,2,SE,Low,Medium,High,High,High,Medium,High,High,Medium,Medium,High,High
2018,3,SE,Low,Medium,High,High,High,Medium,High,High,Medium,High,High,High
2018,4,SE,Low,Medium,High,Medium,High,Medium,High,High,Medium,Medium,Medium,Low
2018,5,SE,Low,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
2018,6,SE,Low,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
2018,7,SE,Low,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Low
2018,8,SE,Low,Low,High,Medium,Medium,Low,Medium,Medium,Low,Medium,High,Medium
2018,9,SE,Low,Low,High,Medium,Medium,Low,Medium,Medium,Low,Medium,High,High
2018,10,SE,Low,Low,High,High,High,Medium,High,High,Low,Medium,High,High
2018,11,SE,Low,Low,High,High,High,Medium,High,High,Medium,Medium,High,Medium
2018,12,SE,Low,Low,High,High,High,Medium,High,High,Medium,Medium,High,High
2019,1,SE,Low,Low,High,High,High,Medium,High,High,Medium,Medium,High,Medium
2019,2,SE,Low,Low,High,High,High,Medium,High,High,Medium,High,High,High
2019,3,SE,Low,Medium,High,Medium,High,Medium,High,High,High,High,High,High
2019,4,SE,Low,Medium,High,Low,High,High,High,High,High,Medium,Medium,Medium
2019,5,SE,Low,High,High,Low,High,High,High,High,High,Medium,Medium,Medium
2019,6,SE,Low,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
2019,7,SE,Low,High,High,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium
2019,8,SE,Low,Medium,High,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium
2019,9,SE,Low,Medium,High,Medium,Medium,Low,High,Medium,Low,Medium,High,Medium
2019,10,SE,Low,Medium,High,High,Medium,Low,High,Medium,Low,Medium,High,High
2019,11,SE,Low,Low,High,High,High,Low,High,High,Low,Medium,High,High
2019,12,SE,Low,Low,High,High,High,Low,High,High,Low,Medium,High,High
2020,1,SE,Low,Low,High,Low,High,Low,High,High,Low,Medium,High,High
2020,2,SE,Low,Medium,High,Low,High,Medium,High,High,Medium,Medium,High,Medium
2020,3,SE,Low,High,High,Low,High,Medium,High,High,Medium,Medium,High,Medium
2020,4,SE,Low,High,High,Low,High,Medium,High,High,Medium,Medium,Medium,Medium
2020,5,SE,Low,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High
2020,6,SE,Low,High,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High
2020,7,SE,Medium,Medium,High,Low,Medium,Low,Medium,Medium,Low,Low,Medium,High
2020,8,SE,Medium,Medium,High,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Medium
2020,9,SE,Low,Low,High,Low,Medium,Low,Medium,Medium,Low,Medium,High,Medium
2020,10,SE,Low,Low,High,Low,High,Low,High,High,Low,Medium,High,Medium
2020,11,SE,Low,Medium,High,Low,High,Low,High,High,Low,Medium,High,Medium
2020,12,SE,Low,Low,High,Low,High,Low,High,High,Low,Medium,High,Medium
2021,1,SE,Low,Medium,High,Low,High,High,High,High,High,Medium,High,Medium
2021,2,SE,Low,Low,High,Low,High,High,High,High,High,Low,High,High
2021,3,SE,Low,Medium,High,Low,High,High,High,High,High,Low,High,Medium
2021,4,SE,Low,Medium,High,Low,High,Low,High,High,Low,Low,Medium,Medium
2021,5,SE,Low,High,High,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Medium
2021,6,SE,Low,Medium,High,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Medium
2021,7,SE,Low,High,High,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Medium
2021,8,SE,Low,Medium,High,Low,Medium,Low,Medium,Medium,Low,Medium,High,Medium
2021,9,SE,Low,Medium,High,Low,Medium,Low,Medium,Medium,Low,Medium,High,Medium
2021,10,SE,Low,Low,High,Low,Medium,High,High,High,High,Medium,High,Medium
2021,11,SE,Low,Medium,High,Low,High,High,High,High,High,High,High,High
2021,12,SE,Low,Low,High,Low,High,High,High,High,Medium,High,High,Medium
2022,1,SE,Low,Low,High,Low,High,Medium,High,High,Medium,High,High,Low
2022,2,SE,Low,Low,High,Low,High,Medium,High,High,Medium,High,High,Low
2022,3,SE,Low,Low,High,Low,High,Low,High,High,Low,High,High,Low
2022,4,SE,Low,Low,High,Low,High,Low,High,High,Low,High,High,Low
2022,5,SE,Low,Low,High,Low,High,Low,High,High,Low,High,High,Low
2022,6,SE,Low,Low,High,Low,High,Low,High,High,Low,High,High,Low
2022,7,SE,Low,Low,High,Low,High,Low,High,High,Low,Medium,Medium,Low
2022,8,SE,Low,Low,High,Low,High,Low,High,High,Low,Medium,Medium,Low
2022,9,SE,Low,Low,High,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium
2022,10,SE,Low,Medium,High,Low,Medium,High,High,Medium,High,Medium,High,Medium
2022,11,SE,Low,Medium,High,Low,Medium,High,Medium,Medium,High,High,High,Medium
2022,12,SE,Low,Low,High,Low,Medium,Medium,High,Medium,High,High,High,Medium
2023,1,SE,Low,Low,High,Low,High,Medium,High,High,High,High,High,Medium
2023,2,SE,Low,Medium,High,Low,High,High,High,High,High,High,High,Medium
2023,3,SE,Low,High,High,Low,High,High,High,High,High,Medium,High,Medium
2023,4,SE,Low,High,High,Low,High,High,High,High,High,Medium,Medium,Low
2023,5,SE,Low,High,High,Low,Medium,Low,High,Medium,Low,Low,Medium,Medium
2023,6,SE,Low,High,High,Low,Medium,Low,Medium,Medium,Low,Low,Medium,Medium
2023,7,SE,Low,High,High,Low,Medium,High,Medium,Medium,High,Medium,Medium,Medium
2023,8,SE,Low,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium
2023,9,SE,Low,Low,High,Low,Medium,Low,Medium,Medium,Low,Medium,High,Medium
2023,10,SE,Low,Low,High,Low,Medium,Low,High,Medium,Low,High,High,Low
2023,11,SE,Low,Low,High,Low,Medium,Medium,High,Medium,Medium,Medium,High,Medium
2023,12,SE,Low,Low,High,Low,High,Medium,High,High,Medium,Medium,High,High
2003,1,PA,Critical,Medium,High,High,Medium,High,Medium,Medium,High,High,Low,Low
2003,2,PA,Critical,High,High,High,Medium,High,Medium,Medium,High,High,Low,Low
2003,3,PA,Critical,High,High,High,Medium,High,Medium,Medium,High,High,Low,Low
2003,4,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2003,5,PA,Critical,High,High,High,High,High,High,High,High,High,Low,Low
2003,6,PA,Critical,Medium,High,High,High,High,High,High,High,High,Medium,Low
2003,7,PA,Critical,Medium,High,High,High,High,High,High,High,Medium,Medium,Low
2003,8,PA,Critical,Medium,High,High,High,High,High,High,High,High,Medium,Medium
2003,9,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2003,10,PA,Critical,High,High,High,High,High,High,High,High,High,Low,Low
2003,11,PA,Critical,High,Medium,High,High,High,Medium,High,High,High,Low,Low
2003,12,PA,Critical,High,Medium,High,Medium,High,High,Medium,High,High,Low,Low
2004,1,PA,Critical,High,Medium,High,Medium,High,High,Medium,High,High,Low,Low
2004,2,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2004,3,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Medium
2004,4,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2004,5,PA,Critical,High,High,High,High,High,High,High,High,High,Medium,Medium
2004,6,PA,Critical,Medium,High,High,High,High,High,High,High,High,Medium,Low
2004,7,PA,Critical,Low,High,High,High,Medium,High,High,Medium,High,Medium,Low
2004,8,PA,Critical,Medium,High,High,High,High,High,High,High,Medium,Medium,Low
2004,9,PA,Critical,High,High,High,Medium,High,Medium,Medium,High,High,Low,Low
2004,10,PA,Critical,High,Medium,High,High,Medium,High,High,High,High,Low,Low
2004,11,PA,Critical,Low,Medium,High,High,Medium,High,High,Medium,High,Low,Low
2004,12,PA,Critical,High,Medium,High,High,High,High,High,High,High,Low,Low
2005,1,PA,Critical,High,Medium,High,Medium,High,High,Medium,High,High,Low,Low
2005,2,PA,Critical,High,Medium,High,Medium,High,High,Medium,High,High,Low,Medium
2005,3,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2005,4,PA,Critical,Medium,High,High,Medium,High,High,Medium,High,High,Low,Low
2005,5,PA,Critical,High,High,High,High,High,High,High,High,High,Low,Low
2005,6,PA,Critical,Medium,High,High,High,High,High,High,Medium,High,Low,Low
2005,7,PA,Critical,Low,High,High,High,Medium,High,High,Medium,High,Medium,Low
2005,8,PA,Critical,Medium,High,High,High,High,High,High,High,Medium,Medium,Low
2005,9,PA,Critical,Medium,High,High,High,High,High,High,High,High,Medium,Low
2005,10,PA,Critical,High,High,High,High,High,High,High,High,High,Medium,Low
2005,11,PA,Critical,Medium,Medium,High,High,High,High,High,High,High,Low,Low
2005,12,PA,Critical,High,Medium,High,High,High,Medium,High,High,High,Low,Low
2006,1,PA,Critical,High,Medium,High,High,High,High,High,High,High,Low,Low
2006,2,PA,Critical,High,Medium,High,High,High,High,High,High,High,Low,Low
2006,3,PA,Critical,High,High,High,Medium,High,High,High,High,High,Low,Low
2006,4,PA,Critical,Low,High,Low,Medium,Medium,High,Medium,Medium,High,Low,Low
2006,5,PA,Critical,Low,High,Low,Medium,Medium,High,Medium,Medium,High,Low,Low
2006,6,PA,Critical,Low,High,Low,Medium,Medium,High,Medium,Medium,High,Low,Low
2006,7,PA,Critical,Medium,High,High,Medium,High,High,Medium,High,High,Low,Medium
2006,8,PA,Critical,High,High,High,High,High,Medium,High,High,High,Low,Low
2006,9,PA,Critical,Medium,High,High,High,High,High,High,High,High,Low,Low
2006,10,PA,Critical,Medium,Medium,High,High,High,High,High,High,High,Low,Low
2006,11,PA,Critical,High,Medium,High,High,High,Medium,High,High,High,Low,Low
2006,12,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Medium
2007,1,PA,Critical,High,Medium,High,High,High,High,High,High,High,Low,Low
2007,2,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2007,3,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2007,4,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2007,5,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2007,6,PA,Critical,Medium,High,High,High,High,High,Medium,High,High,Low,Low
2007,7,PA,Critical,High,High,High,High,High,High,High,High,High,Low,Low
2007,8,PA,Critical,Medium,High,High,High,Medium,High,High,High,High,Low,Low
2007,9,PA,Critical,Medium,High,High,High,High,High,High,High,High,Low,Low
2007,10,PA,Critical,High,Medium,High,High,High,High,High,High,High,High,Low
2007,11,PA,Critical,High,Medium,High,High,High,High,High,High,High,High,Low
2007,12,PA,Critical,High,Medium,High,High,High,High,High,High,High,High,Low
2008,1,PA,Critical,High,Medium,High,Medium,High,Medium,Medium,High,High,Low,Low
2008,2,PA,Critical,High,High,High,Medium,High,High,Medium,High,High,Low,Low
2008,3,PA,Critical,High,High,High,Medium,High,Medium,Medium,High,High,Low,Low
2008,4,PA,Critical,High,Medium,Low,Medium,High,Medium,Medium,High,High,Low,Low
2008,5,PA,Critical,High,High,Low,Medium,High,High,Medium,High,High,Low,Low
2008,6,PA,Critical,High,High,Low,High,High,High,High,High,High,Low,Low
2008,7,PA,Critical,Low,High,Low,High,Medium,High,High,Medium,High,Medium,High
2008,8,PA,Critical,Medium,High,Low,High,High,High,High,High,High,Medium,Medium
2008,9,PA,Critical,Medium,High,Low,High,High,High,High,High,High,Medium,Medium
2008,10,PA,Critical,Medium,Medium,High,High,High,High,High,High,Low,Medium,Medium
2008,11,PA,Critical,Medium,Medium,Medium,High,High,High,High,High,High,Medium,Low
2008,12,PA,Critical,Medium,Medium,Medium,High,High,High,High,High,High,Low,Low
2009,1,PA,Critical,High,Medium,Medium,Medium,High,High,Medium,High,High,Low,Low
2009,2,PA,Critical,High,Medium,Medium,Medium,High,High,Medium,High,High,Low,Medium
2009,3,PA,Critical,High,Medium,Medium,Medium,High,High,Medium,High,High,Low,Low
2009,4,PA,Critical,High,High,Low,Medium,High,High,Medium,High,High,Low,Low
2009,5,PA,Critical,High,High,Medium,Medium,High,High,Medium,High,High,Low,Low
2009,6,PA,Critical,High,High,Medium,Medium,High,High,Medium,High,High,Low,Medium
2009,7,PA,Critical,Medium,High,Medium,High,High,High,High,High,Medium,Low,Low
2009,8,PA,Critical,Medium,High,High,High,High,High,High,High,Medium,Medium,Low
2009,9,PA,Critical,Medium,High,High,High,High,High,High,High,Medium,Medium,Low
2009,10,PA,Critical,Medium,Medium,High,High,High,Medium,High,High,High,Medium,Low
2009,11,PA,Critical,Medium,Medium,Medium,High,High,High,High,High,Medium,Medium,Low
2009,12,PA,Critical,High,Medium,Medium,High,High,High,High,High,High,Low,Low
2010,1,PA,Critical,High,Medium,Medium,Medium,High,Medium,Medium,High,High,Low,Low
2010,2,PA,Critical,High,Medium,Medium,High,High,High,High,High,High,Low,Low
2010,3,PA,Critical,High,Medium,Medium,High,High,High,High,High,High,Low,Low
2010,4,PA,Critical,High,Medium,Medium,Medium,High,High,Medium,High,High,Low,Low
