State,Record_Count,Deforestation_total_ha,Deforestation_mean_ha,Deforestation_median_ha,CO2_total,Total_Precipitation_mean,Atmospheric_Pressure_Station_mean,Global_Radiation_mean,Air_Temperature_mean,Max_Air_Temperature_mean,Min_Air_Temperature_mean,Relative_Humidity_mean,Max_Relative_Humidity_mean,Min_Relative_Humidity_mean,Hourly_Wind_Speed_mean,Max_Wind_Gust_mean,Deforestation_mean_ha_z,Total_Precipitation_mean_z,Atmospheric_Pressure_Station_mean_z,Global_Radiation_mean_z,Air_Temperature_mean_z,Max_Air_Temperature_mean_z,Min_Air_Temperature_mean_z,Relative_Humidity_mean_z,Max_Relative_Humidity_mean_z,Min_Relative_Humidity_mean_z,Hourly_Wind_Speed_mean_z,Max_Wind_Gust_mean_z,Summer_Temperature_x,Winter_Temperature_x,Avg_Seasonal_Range_x,Seasonal_Range_Variability_x,Summer_Temperature_y,Winter_Temperature_y,Avg_Seasonal_Range_y,Seasonal_Range_Variability_y,Summer_Temperature,Winter_Temperature,Avg_Seasonal_Range,Seasonal_Range_Variability,Summer_Trend,Winter_Trend,Annual_Trend,Summer_Deviation_Trend,Winter_Deviation_Trend
MG,207,2235220.35,10798.165942,5874.51,1391658200.0,138.992271,919.180483,223.933623,21.968164,19.279227,14.929952,21.300531,20.133816,6.050725,5.215314,5.780193,0.081322,-0.204271,-1.745596,-0.849598,-1.085684,-1.58628,-1.036734,-1.129884,-1.489378,-1.311943,0.010239,0.169294,23.3821568627451,19.685098039215685,3.6970588235294137,0.6530504089282139,23.3821568627451,19.685098039215685,3.6970588235294137,0.6530504089282139,23.3821568627451,19.685098039215685,3.6970588235294137,0.6530504089282139,-0.35520279402573346,-0.43325491566785035,-0.17678451663735542,-0.38598016557702897,-0.663191432771728
MS,268,1744760.56,6510.300597,3708.875,891391420.0,116.265299,952.81041,630.899328,23.831978,21.666306,14.331978,23.225858,22.316045,7.082799,6.2025,8.575037,-0.213272,-0.666951,-0.852211,-0.422829,-0.42164,-0.526138,-1.174917,-0.443654,-0.526971,-1.121416,0.941986,2.414566,25.19151515151515,21.450606060606063,3.7409090909090885,0.8532652389858432,25.19151515151515,21.450606060606063,3.7409090909090885,0.8532652389858432,25.19151515151515,21.450606060606063,3.7409090909090885,0.8532652389858432,-0.1516280836830004,0.037840235110515,0.15619382340444218,-0.6464735231190814,-0.21854842122338272
MT,253,11772123.6,46530.132806,25873.32,6147429400.0,118.824111,989.549526,832.751462,26.884427,22.857036,18.745771,26.248893,23.507787,10.706206,4.687273,5.208735,2.536257,-0.614858,0.123769,-0.211155,0.665893,0.002685,-0.154953,0.633824,-0.00139,-0.452514,-0.488148,-0.289794,27.166825396825395,25.432222222222226,1.7346031746031692,1.0128280381785608,27.166825396825395,25.432222222222226,1.7346031746031692,1.0128280381785608,27.166825396825395,25.432222222222226,1.7346031746031692,1.0128280381785608,0.35383936565094476,1.1247628493199682,0.9766104638855697,-1.2800539935134425,0.7048881473276043
PA,252,15567014.0,61773.865079,35949.6,9826690100.0,290.423016,1008.803056,2468.39619,26.95254,25.863889,22.802421,26.403611,26.604841,19.208373,3.745952,3.920556,3.583565,2.878581,0.635242,1.504081,0.690161,1.338079,0.782481,0.688969,1.364473,1.117036,-1.376605,-1.324669,26.56126984126984,27.40047619047619,-0.83920634920635,0.9177917194067733,26.56126984126984,27.40047619047619,-0.83920634920635,0.9177917194067733,26.56126984126984,27.40047619047619,-0.83920634920635,0.9177917194067733,-0.5958656267761625,-1.0039173755747586,-0.6321201391193069,0.050255911083843516,-1.099708119483358
PB,198,85601.24,432.329495,246.99,28162487.08,144.838384,1009.125505,701.105808,26.736566,24.132222,22.662374,26.237828,24.797778,17.757525,6.065101,4.327879,-0.630854,-0.085255,0.643808,-0.349206,0.613213,0.569017,0.750118,0.62988,0.567522,0.849201,0.812304,-0.997441,27.550196078431373,25.57735294117647,1.9728431372549018,0.7959455572244623,27.550196078431373,25.57735294117647,1.9728431372549018,0.7959455572244623,27.550196078431373,25.57735294117647,1.9728431372549018,0.7959455572244623,0.5770357912823343,0.48299097652709294,0.47036162006756577,0.24615288519104428,0.2025352163298604
PE,229,156912.42,685.207074,383.25,50206884.96,165.468559,1012.40131,728.479127,25.679738,24.374934,21.107074,25.141135,25.023188,17.360131,4.840568,3.5269,-0.61348,0.334737,0.730831,-0.320501,0.236684,0.67681,0.390711,0.238994,0.666932,0.77584,-0.343462,-1.640917,26.721929824561403,24.22947368421053,2.4924561403508747,0.9968585484220183,26.721929824561403,24.22947368421053,2.4924561403508747,0.9968585484220183,26.721929824561403,24.22947368421053,2.4924561403508747,0.9968585484220183,-1.6477786857274326,-0.12762426109860556,-1.0099076686842055,-1.3958718398645245,1.6860375651879282
PR,252,1288798.0,5114.277778,3283.965,679435220.0,101.813492,913.061825,543.33119,18.297103,17.965278,11.303929,17.818611,18.714603,5.306667,5.144167,6.24369,-0.309185,-0.961163,-1.908139,-0.514658,-2.393618,-2.169827,-1.874656,-2.37092,-2.115279,-1.4493,-0.056912,0.54165,21.01015873015873,15.395079365079365,5.615079365079364,1.8058991516781184,21.01015873015873,15.395079365079365,5.615079365079364,1.8058991516781184,21.01015873015873,15.395079365079365,5.615079365079364,1.8058991516781184,0.2655725920217263,-1.86479307751398,-1.0999237396985746,2.8505855722135127,-2.1885690977754666
RN,251,102479.68,408.285578,215.1,28197574.42,111.914343,1007.168805,4556.923865,26.615896,24.218725,22.99992,26.193705,24.888247,18.49992,8.56251,7.820558,-0.632506,-0.755528,0.591828,3.694237,0.570221,0.607434,0.82812,0.614154,0.607421,0.986252,3.169462,1.808446,27.501507936507934,25.22269841269841,2.2788095238095245,0.5868667137285432,27.501507936507934,25.22269841269841,2.2788095238095245,0.5868667137285432,27.501507936507934,25.22269841269841,2.2788095238095245,0.5868667137285432,0.2196384872053815,-0.0397213872587581,-0.053142913308501585,0.5764793944730067,0.011746392442927479
RO,198,2978739.48,15044.138788,7942.05,1976010200.0,162.627778,996.520505,585.03702,26.340707,24.688636,21.599293,25.751313,25.286566,17.413232,4.024596,4.420606,0.373038,0.276904,0.308955,-0.470923,0.472176,0.81613,0.504455,0.456475,0.783087,0.785643,-1.11361,-0.922947,26.015686274509804,26.11049019607843,-0.09480392156862649,0.7547805701992644,26.015686274509804,26.11049019607843,-0.09480392156862649,0.7547805701992644,26.015686274509804,26.11049019607843,-0.09480392156862649,0.7547805701992644,-0.2685134295438925,0.8428495734168687,-0.12745091539020623,-0.3046471887598366,2.2160322320409596
RR,161,875933.8,5440.582609,2629.36,552749960.0,110.273913,1001.727081,707.814099,28.175652,23.350807,23.559565,27.470373,24.157019,16.212857,5.31087,4.77764,-0.286766,-0.788925,0.447268,-0.342172,1.125934,0.221978,0.957446,1.069187,0.284935,0.564046,0.100429,-0.63612,28.344285714285714,26.89952380952381,1.4447619047619042,0.8069059373292475,28.344285714285714,26.89952380952381,1.4447619047619042,0.8069059373292475,28.344285714285714,26.89952380952381,1.4447619047619042,0.8069059373292475,1.106208994227323,0.25882115815817763,1.37348216007438,-0.5091073087106716,-2.0942015196984958
RS,276,834797.0,3024.626812,1727.14,406784770.0,123.192391,1009.830761,138.95413,19.963007,21.431884,10.773188,19.47413,21.915942,4.931884,4.793442,5.403623,-0.452752,-0.525928,0.662544,-0.938712,-1.800086,-0.630249,-1.997302,-1.780855,-0.703425,-1.518487,-0.387941,-0.133229,24.617826086956523,15.189710144927536,9.428115942028986,1.0148830982522756,24.617826086956523,15.189710144927536,9.428115942028986,1.0148830982522756,24.617826086956523,15.189710144927536,9.428115942028986,1.0148830982522756,0.08738941675407728,-0.27954583274741623,-0.2658567168255442,0.7382184198527575,-0.12975419370037347
SC,252,924245.0,3667.638889,2265.82,546380120.0,146.083294,1016.320873,534.470278,21.126349,21.380714,13.654405,20.681349,21.821587,6.989365,5.155437,7.094167,-0.408575,-0.059911,0.834954,-0.52395,-1.385608,-0.652974,-1.331495,-1.350575,-0.745037,-1.138664,-0.046275,1.22489,24.65079365079365,17.380000000000003,7.270793650793646,1.1624241455595694,24.65079365079365,17.380000000000003,7.270793650793646,1.1624241455595694,24.65079365079365,17.380000000000003,7.270793650793646,1.1624241455595694,0.49619086242016797,-0.18099274046548477,0.0649196351823398,0.9177036245257046,-0.5496270885858674
SE,239,107691.68,450.592803,224.72,38334513.5,114.084059,1013.891632,1156.581464,26.717448,23.653054,23.011255,26.225858,24.608619,16.602594,6.309623,5.908033,-0.629599,-0.711357,0.770421,0.128433,0.606402,0.356211,0.830739,0.625614,0.4841,0.635994,1.043094,0.271996,27.661250000000003,25.413166666666665,2.248083333333337,0.7468478153926174,27.661250000000003,25.413166666666665,2.248083333333337,0.7468478153926174,27.661250000000003,25.413166666666665,2.248083333333337,0.7468478153926174,0.1768079054538053,0.055700619536930535,0.00479430990171112,0.3651384958093308,0.12048767549467927
SP,210,695464.04,3311.733524,1972.56,554276250.0,133.704286,926.99119,560.437667,20.384095,19.041905,13.190952,19.880381,19.491429,4.295714,5.27081,6.273333,-0.433027,-0.311925,-1.538103,-0.496719,-1.65006,-1.691678,-1.438592,-1.636058,-1.772683,-1.635928,0.062618,0.565464,22.921666666666667,17.656203703703703,5.265462962962964,0.8802825240097515,22.921666666666667,17.656203703703703,5.265462962962964,0.8802825240097515,22.921666666666667,17.656203703703703,5.265462962962964,0.8802825240097515,-0.05564657480596435,0.036894236386031926,0.21187006983772796,-0.5586155169999726,-0.3301151559805681
TO,229,1971678.3,8609.948908,4756.56,845697290.0,267.506987,978.897686,1249.73952,27.375677,22.854192,20.845371,26.706376,23.493275,11.38559,4.281354,7.380393,-0.069017,2.412053,-0.159199,0.226124,0.840917,0.001422,0.330235,0.796881,-0.007789,-0.327096,-0.871271,1.454834,26.07263157894737,28.025964912280703,-1.9533333333333331,0.6755116944825722,26.07263157894737,28.025964912280703,-1.9533333333333331,0.6755116944825722,26.07263157894737,28.025964912280703,-1.9533333333333331,0.6755116944825722,-0.2462891207403795,0.4003035301376569,0.05373361064636354,-0.6342484615055745,0.8280415784556928
